chromosome,start,end,length,,dm2 site,,dm6
X,10227113,10228214,1101,,X:10227113-10228214,,X:10381892-10382993
X,10308313,10308814,501,,X:10308313-10308814,,X:10463092-10463593
X,10318313,10319914,1601,,X:10318313-10319914,,X:10473095-10474696
X,10321113,10322314,1201,,X:10321113-10322314,,X:10475895-10477096
X,10696013,10696814,801,,X:10696013-10696814,,X:10850795-10851596
X,10697313,10697614,301,,X:10697313-10697614,,X:10852095-10852396
X,10989613,10990414,801,,X:10989613-10990414,,X:11144395-11145196
X,11009413,11009714,301,,X:11009413-11009714,,X:11164195-11164496
X,11242013,11243714,1701,,X:11242013-11243714,,X:11396795-11398496
X,11302013,11302414,401,,X:11302013-11302414,,X:11456795-11457196
X,11423713,11426714,3001,,X:11423713-11426714,,X:11578495-11581496
X,11540513,11541514,1001,,X:11540513-11541514,,X:11702742-11703743
X,11560813,11561214,401,,X:11560813-11561214,,X:11723042-11723443
X,11626413,11626814,401,,X:11626413-11626814,,X:11792477-11792878
X,11699813,11700514,701,,X:11699813-11700514,,X:11865876-11866577
X,11844513,11846514,2001,,X:11844513-11846514,,X:12010576-12012577
X,11857013,11857614,601,,X:11857013-11857614,,X:12023076-12023677
X,12549613,12550314,701,,X:12549613-12550314,,X:12715676-12716377
X,12593513,12596114,2601,,X:12593513-12596114,,X:12759576-12762177
X,12743913,12745814,1901,,X:12743913-12745814,,X:12909976-12911877
X,12913813,12915514,1701,,X:12913813-12915514,,X:13079876-13081577
X,12924113,12924614,501,,X:12924113-12924614,,X:13090176-13090677
X,13033513,13035914,2401,,X:13033513-13035914,,X:13199576-13201977
X,13130813,13131314,501,,X:13130813-13131314,,X:13296876-13297377
X,13171613,13172014,401,,X:13171613-13172014,,X:13337676-13338077
X,13175713,13176014,301,,X:13175713-13176014,,X:13341776-13342077
X,13254313,13255414,1101,,X:13254313-13255414,,X:13420376-13421477
X,13570113,13570514,401,,X:13570113-13570514,,X:13736176-13736577
X,13660413,13661614,1201,,X:13660413-13661614,,X:13826476-13827677
X,13829813,13831414,1601,,X:13829813-13831414,,X:13995876-13997477
X,14662213,14662614,401,,X:14662213-14662614,,X:14828276-14828677
X,14885513,14886814,1301,,X:14885513-14886814,,X:15051576-15052877
X,14918713,14920014,1301,,X:14918713-14920014,,X:15084776-15086077
X,15318813,15319214,401,,X:15318813-15319214,,X:15484876-15485277
X,15417113,15418814,1701,,X:15417113-15418814,,X:15583176-15584877
X,15564513,15565314,801,,X:15564513-15565314,,X:15730576-15731377
X,15567613,15568614,1001,,X:15567613-15568614,,X:15733676-15734677
X,15633413,15635814,2401,,X:15633413-15635814,,X:15799476-15801877
X,15693913,15695114,1201,,X:15693913-15695114,,X:15859976-15861177
X,16108113,16108814,701,,X:16108113-16108814,,X:16274176-16274877
X,16154213,16154514,301,,X:16154213-16154514,,X:16320276-16320577
X,16433013,16434414,1401,,X:16433013-16434414,,X:16599076-16600477
X,16441113,16442114,1001,,X:16441113-16442114,,X:16607176-16608177
X,16444313,16445114,801,,X:16444313-16445114,,X:16610376-16611177
X,16488713,16489314,601,,X:16488713-16489314,,X:16654776-16655377
X,16631713,16632514,801,,X:16631713-16632514,,X:16797776-16798577
X,16970513,16972514,2001,,X:16970513-16972514,,X:17136576-17138577
X,16988413,16989514,1101,,X:16988413-16989514,,X:17154476-17155577
X,17488313,17490514,2201,,X:17488313-17490514,,X:17654376-17656577
X,17654313,17654614,301,,X:17654313-17654614,,X:17820376-17820677
X,17654913,17655514,601,,X:17654913-17655514,,X:17820976-17821577
X,17656113,17657114,1001,,X:17656113-17657114,,X:17822176-17823177
X,17928213,17929114,901,,X:17928213-17929114,,X:18094276-18095177
X,17931813,17932814,1001,,X:17931813-17932814,,X:18097876-18098877
X,18208613,18209314,701,,X:18208613-18209314,,X:18374676-18375377
X,18209813,18210114,301,,X:18209813-18210114,,X:18375876-18376177
X,18329413,18329914,501,,X:18329413-18329914,,X:18495476-18495977
X,18487313,18489114,1801,,X:18487313-18489114,,X:18653376-18655177
X,18623813,18624714,901,,X:18623813-18624714,,X:18789876-18790777
X,18682713,18683114,401,,X:18682713-18683114,,X:18848776-18849177
X,18722013,18722814,801,,X:18722013-18722814,,X:18888076-18888877
X,19324113,19324614,501,,X:19324113-19324614,,X:19490176-19490677
X,19411713,19413914,2201,,X:19411713-19413914,,X:19577776-19579977
X,19458413,19458814,401,,X:19458413-19458814,,X:19624476-19624877
X,19473913,19475614,1701,,X:19473913-19475614,,X:19639976-19641677
X,19575013,19575814,801,,X:19575013-19575814,,X:19741076-19741877
X,19858313,19859014,701,,X:19858313-19859014,,X:20024376-20025077
X,20046813,20047214,401,,X:20046813-20047214,,X:20236090-20236491
X,20221813,20222814,1001,,X:20221813-20222814,,X:20411137-20412138
X,20840913,20841514,601,,X:20840913-20841514,,X:21030237-21030838
X,20860213,20861714,1501,,X:20860213-20861714,,X:21049537-21051038
X,20863313,20864114,801,,X:20863313-20864114,,X:21052637-21053438
X,21127813,21130214,2401,,X:21127813-21130214,,X:21317137-21319538
X,21134413,21134714,301,,X:21134413-21134714,,X:21323737-21324038
X,21179013,21179614,601,,X:21179013-21179614,,X:21368337-21368938
X,21180013,21180614,601,,X:21180013-21180614,,X:21369337-21369938
X,21664513,21665014,501,,X:21664513-21665014,,X:22461114-22461615
3R,2919913,2920214,301,,3R:2919913-2920214,,3R:7094191-7094492
